displacement,category,partisanship,timeframe,starttime,correlation,pvalue
5,Islamophobia,CenterLeft,6,5,0.9429903335828893,0.004782509480212031
4,Islamophobia,CenterRight,6,5,0.9429903335828893,0.004782509480212031
3,Islamophobia,Right,6,5,0.9429903335828893,0.004782509480212031
1,Transphobia,Left,6,5,1.0,0.0
3,Transphobia,CenterLeft,6,5,1.0,0.0
3,Anti-semitism,Center,6,5,1.0,0.0
5,Anti-semitism,CenterRight,6,5,1.0,0.0
5,Immigration,FarRight,6,6,0.7592566023652966,0.07995964654558185
1,Transphobia,Left,6,6,1.0,0.0
3,Transphobia,CenterLeft,6,6,1.0,0.0
3,Anti-semitism,Center,6,6,1.0,0.0
5,Anti-semitism,CenterRight,6,6,1.0,0.0
5,Immigration,FarRight,6,7,0.8164965809277261,0.04742065558431951
1,Transphobia,Left,6,7,1.0,0.0
3,Transphobia,CenterLeft,6,7,1.0,0.0
3,Anti-semitism,Center,6,7,1.0,0.0
5,Anti-semitism,CenterRight,6,7,1.0,0.0
5,Immigration,FarRight,6,8,0.8660254037844386,0.025721420742506544
3,Islamophobia,Right,6,8,0.7071067811865476,0.11611652351681563
3,Anti-semitism,Center,6,8,1.0,0.0
5,Anti-semitism,CenterRight,6,8,1.0,0.0
3,Islamophobia,Right,6,9,0.7071067811865476,0.11611652351681563
3,Anti-semitism,Center,6,9,1.0,0.0
3,Islamophobia,Right,6,10,0.7071067811865476,0.11611652351681563
3,Anti-semitism,Center,6,10,1.0,0.0
2,Immigration,Left,6,11,0.7592566023652967,0.07995964654558171
2,Immigration,Center,6,11,0.7592566023652967,0.07995964654558171
5,Immigration,Right,6,11,0.7592566023652967,0.07995964654558171
3,Islamophobia,Right,6,11,0.9999999999999997,2.9582283945787934e-31
1,Immigration,Right,6,12,0.7071067811865476,0.11611652351681563
2,Islamophobia,CenterRight,6,12,1.0,0.0
3,Islamophobia,Right,6,12,1.0,0.0
5,Islamophobia,FarRight,6,12,1.0,0.0
4,Islamophobia,Left,6,14,1.0,0.0
1,Islamophobia,Center,6,14,1.0,0.0
4,Islamophobia,Right,6,14,1.0,0.0
4,Islamophobia,Left,6,15,1.0,0.0
1,Islamophobia,Center,6,15,1.0,0.0
4,Islamophobia,Right,6,15,1.0,0.0
1,Islamophobia,Center,6,16,1.0,0.0
4,Islamophobia,Right,6,16,1.0,0.0
1,Islamophobia,Center,6,17,1.0,0.0
4,Islamophobia,Right,6,17,1.0,0.0
1,Islamophobia,Center,6,18,1.0,0.0
4,Islamophobia,Right,6,18,1.0,0.0
1,Immigration,FarLeft,6,19,0.8,0.05599999999999998
5,Islamophobia,FarLeft,6,19,1.0,0.0
1,Islamophobia,Center,6,19,1.0,0.0
1,Islamophobia,CenterRight,6,19,1.0,0.0
4,Anti-semitism,FarLeft,6,19,1.0,0.0
1,Anti-semitism,Left,6,19,1.0,0.0
1,Anti-semitism,Center,6,19,1.0,0.0
1,Immigration,FarLeft,6,20,0.8,0.05599999999999998
3,Immigration,FarLeft,6,20,0.7000000000000001,0.12149999999999987
1,Islamophobia,Center,6,20,1.0,0.0
1,Islamophobia,CenterRight,6,20,1.0,0.0
1,Anti-semitism,Left,6,20,1.0,0.0
1,Anti-semitism,Center,6,20,1.0,0.0
5,Anti-semitism,FarRight,6,20,1.0,0.0
3,Immigration,FarLeft,6,21,0.7938841860374447,0.059347308980842756
1,Islamophobia,Center,6,21,1.0,0.0
1,Islamophobia,CenterRight,6,21,1.0,0.0
4,Islamophobia,FarRight,6,21,1.0,0.0
1,Anti-semitism,Left,6,21,1.0,0.0
1,Anti-semitism,Center,6,21,1.0,0.0
5,Anti-semitism,FarRight,6,21,1.0,0.0
1,Islamophobia,Left,6,22,1.0,0.0
1,Islamophobia,Center,6,22,1.0,0.0
1,Islamophobia,CenterRight,6,22,1.0,0.0
4,Islamophobia,FarRight,6,22,1.0,0.0
1,Anti-semitism,Left,6,22,1.0,0.0
1,Anti-semitism,Center,6,22,1.0,0.0
5,Anti-semitism,FarRight,6,22,1.0,0.0
1,Anti-semitism,Left,6,23,1.0,0.0
1,Anti-semitism,Center,6,23,1.0,0.0
5,Anti-semitism,FarRight,6,23,1.0,0.0
1,Immigration,FarRight,6,24,0.8783100656536798,0.021311641128756765
4,Anti-semitism,FarLeft,6,24,0.7071067811865476,0.11611652351681563
2,Islamophobia,FarLeft,6,25,0.8,0.05599999999999998
4,Islamophobia,Left,6,25,1.0,0.0
4,Islamophobia,Right,6,25,1.0,0.0
2,Immigration,Left,6,26,1.0,0.0
5,Immigration,CenterLeft,6,26,1.0,0.0
3,Immigration,Center,6,26,1.0,0.0
1,Immigration,Right,6,26,1.0,0.0
4,Immigration,FarRight,6,26,0.87831006565368,0.02131164112875669
2,Islamophobia,FarLeft,6,26,0.8,0.05599999999999998
4,Islamophobia,Left,6,26,1.0,0.0
4,Islamophobia,Right,6,26,1.0,0.0
4,Anti-semitism,FarLeft,6,26,1.0,0.0
2,Immigration,Left,6,27,1.0,0.0
5,Immigration,CenterLeft,6,27,1.0,0.0
1,Immigration,Right,6,27,1.0,0.0
4,Immigration,FarRight,6,27,0.8,0.05599999999999998
2,Islamophobia,FarLeft,6,27,0.7592566023652967,0.07995964654558171
4,Islamophobia,Left,6,27,1.0,0.0
4,Islamophobia,Right,6,27,1.0,0.0
4,Anti-semitism,FarLeft,6,27,1.0,0.0
2,Immigration,Left,6,28,1.0,0.0
